text,language
"Sema tu mahali, nitafika kama saa tatu usiku.",Sheng
Kazi ya ujenzi itaisha mwezi wa tatu ujao.,Swahili
"Base yetu ni safe, tunajuana wote vizuri.",Sheng
ATM ilikuwa imejaa watu leo asubuhi mapema.,Swahili
"Forest cover in the Mau is slowly recovering, good news.",English
My cousin is visiting from the village this weekend.,English
"Aki nimechelewa, start without me.",English
My aunty sent some uji and dried vegetables from shags.,English
"Nilifolllow huyo msee kwa insta, content yake ni lit.",Sheng
"Ile post ilikuwa fire, watu wote waka-react haraka.",Sheng
Osiepa biro lawa kawuono okinyi.,Luo
I have three group chats that are active at the same time right now.,English
"Harambee Stars match tonight at Nyayo, who is going?",English
Msikiti mpya umejengwa katika mtaa wetu huu.,Swahili
"My wifi router is acting up again, calling the technician tomorrow.",English
Jodongo bedo kaluoro wach maber.,Luo
Kila siku naomba Mungu anipe nguvu ya kuendelea tu.,Sheng
Mkutano wa viongozi utafanyika Nairobi wiki ijayo.,Swahili
Kilima cha Kenya ni kirefu zaidi nchini.,Swahili
Jodala wuotho maber e dala.,Luo
Jaduong' osebedo e ot kawuono.,Luo
Mchana huu joto lilifika kiwango cha juu.,Swahili
Jodala ohero ng'eyo wach maber.,Luo
I had to walk from town because there were no taxis available.,English
"Huyo msee anajifanya tu kwa gram, maisha yake si hivyo.",Sheng
Nimekula ugali na sukuma wiki leo mchana.,Swahili
I went for a check-up and the doctor said I need to rest more.,English
Maze hii town hukusaidia kama hujisaidii kwanza wewe.,Sheng
Supu ya nyama inanipa nguvu wakati wa baridi.,Swahili
Wanariadha wetu wameshinda medali za dhahabu.,Swahili
An gi osiepe mathoth e dala.,Luo
Mdosi wangu ananiwork hard lakini mshahara ni ile ile tu.,Sheng
Ongezeko la watu linaendelea kuwa tatizo kubwa mijini.,Swahili
"Beshte wangu wote watakuwepo, itakuwa lit sana.",Sheng
Usiku huu ulikuwa na baridi kali sana.,Swahili
Mama osenyiso nyako wach maber.,Luo
Timu yetu ilishindwa kwa bao moja tu jana.,Swahili
Viazi karai with kachumbari is a Mombasa must-have.,English
Jodala ohero chopo kaachiel e dala.,Luo
Jaduong' olemo e ot kawuono okinyi.,Luo
An gi duol maber ne wuoyo gi ji.,Luo
"Hapa soko, watu wengi wananunua mbogamboga.",Swahili
Mboga za leo zinanukia vizuri sana jikoni.,Swahili
"Nilifeel alive leo, kila kitu kilikwenda kama nilivyotaka.",Sheng
Nyithindo ohero chiemo kuon gi rech.,Luo
Polisi wamekamata wahalifu watano mjini jana usiku.,Swahili
An gi tich mang'eny e puoth odiechieng'.,Luo
"The harambee raised enough to pay for the operation, God is good.",English
"Bana nini mbaya, alikuja na vibes za chini tu.",Sheng
Nilijaribu kitu kipya leo na ilikuwa experience ya poa.,Sheng
Mawimbi ya bahari yanaimba wimbo wa asili.,Swahili
"Maze huyo msee ni clout chaser tu, hakuna substance.",Sheng
"Niko nyumbani, leo sijatoka nje.",Swahili
Solar panels are now affordable for many rural households.,English
The chapati at that mama's stall near the stage is unbeatable.,English
An dhi lemo e kanisa kawuono odhiambo.,Luo
Bana comment yake ilikuwa roast lakini ilikuwa accurate.,Sheng
"Saa hii sina hata fare, maisha ni ngumu kweli.",Sheng
Nyathi wuotho e skul maber odiechieng'.,Luo
"Huyo msee ana sauce, kila anaingia mahali anaonekana.",Sheng
Nilifeel used baada ya mambo yote niliyofanya kwa msee huyo.,Sheng
The internet at the office is slow again today.,English
Hospitali mpya itafunguliwa jijini Nairobi hivi karibuni.,Swahili
"Treni ilienda kwa wakati, hatukuchelewa.",Swahili
The new e-citizen platform has made everything much easier.,English
Ninaenda hospitali kukaguliwa damu leo asubuhi.,Swahili
"Nilifika stage nikakuta hakuna mat, nikangoja muda mrefu.",Sheng
"My boy came top of the class this term, so proud.",English
Walimu wanafanya mgomo leo kutaka mishahara bora.,Swahili
"Nilifanya application nyingi, moja tu ilijibu, itosha.",Sheng
"Huyo msee ni consistent, respect full stop.",Sheng
Jodala wuotho e dala odhiambo.,Luo
Huyo msee alisema ukweli mkali lakini ulikuwa wa lazima.,Sheng
Chuo kikuu kipya kimefunguliwa mjini hivi karibuni.,Swahili
The tea farms in Kericho make Kenya proud globally.,English
Views from Ngong Hills never get old honestly.,English
My inbox has forty unread emails and I am choosing to ignore them today.,English
"Nilifika late lakini situation ilikuwa bado inaendelea, lucky.",Sheng
"Piny chuer kawuono, an gi mor.",Luo
Mama oselo rech ne ji kawuono odhiambo.,Luo
"Jua la mchana linauma, kaa kivulini.",Swahili
Mshahara wangu umechelewa mwezi huu tena.,Swahili
"Maze nilifeel proud sana, kazi yangu iliongea yenyewe.",Sheng
"The stage was so full this morning, I waited for three mats.",English
Nyithindo ohero singo gi jowetegi.,Luo
"Working from home today, the traffic was unbearable.",English
I have started walking to the stage every morning for exercise.,English
Timu ya Kenya FC imeshinda na magoli matatu.,Swahili
Bana nilihisi vibaya lakini nikajificha vizuri mbele ya watu.,Sheng
Rech maler yudo e dho nam Victoria.,Luo
Wang' chieng' podho pi ahinya kawuono.,Luo
Oganda wan gi hera gi horuok e dala maber.,Luo
"Mwaka mpya wa Kiislamu umefika, hongera.",Swahili
Nimefikia ofisi kwa wakati licha ya mvua.,Swahili
Kwa nyumba ya beshte yangu chakula ni always available.,Sheng
"Ile fit alikuwa amevaa ilikuwa fire, drip ilikuwa real.",Sheng
Osiepa timo tich matek kawuono maber.,Luo
"The job market is tough right now, keep applying and praying.",English
Mama yetu anatutembelea wikendi hii.,Swahili
Kesho kutwa tutaenda pwani kwa starehe.,Swahili
An gi mor ne nyithindo mag dala.,Luo
Eid Mubarak kwa ndugu zetu Waislamu wote.,Swahili
Pale aliponiambia hivyo nilikaa kimya kwa dakika tano.,Sheng
The matatu operators have called off their strike following talks.,English
We prayed for healing and the doctor confirmed he is recovering.,English
Dhako no osenyi nyithindo tich mag dala.,Luo
Osiepe joka biro lawa kawuono.,Luo
"Osiepa onge kawuono, odhi tich.",Luo
Nyako no ohero singo e dala.,Luo
The maize this season is doing well thanks to the good rains.,English
Harusi ya shangazi itafanyika mwezi ujao.,Swahili
"Tuko na Harambee Stars hadi mwisho, we believe.",English
Watoto wangu wanafanya vizuri sana shuleni.,Swahili
Nam Victoria en nam maduong' ahinya.,Luo
Mazishi ya mzee yatafanyika kesho asubuhi.,Swahili
Wimbo mpya wa msanii fulani unaimba jijini.,Swahili
Jaduong' olemo kawuono okinyi maber.,Luo
"Pumzika kidogo, umechoka sana leo.",Swahili
"You are looking smart today, new clothes?",English
A new industrial park will create over five thousand jobs in Athi River.,English
Osiepe jokaya wan gi mor e dala.,Luo
Chieng' podho jaber kawuono odhiambo maber.,Luo
"Maze ile plot twist ilikuwa unexpected kabisa, wow.",Sheng
"Maze mtaani umebadilika sana, watu wa zamani hawako tena.",Sheng
Nyako owinjo wach maber ma mama wacho.,Luo
"Koth ochwe kawuono, ok wabiro dhi puoth.",Luo
Nimepakua programu mpya kwenye simu yangu.,Swahili
Mbio za marathon za Nairobi zinafanyika Oktoba.,Swahili
Are you going upcountry for the holiday weekend?,English
"Bana hii ni life, lazima ucheze kwa kadi ulizopewa.",Sheng
The Safaricom network was down this morning and panic set in.,English
Nilikuwa chini sana lakini saa hii niko juu kidogo.,Sheng
Mchungaji alihubiri kuhusu upendo na amani.,Swahili
Wakulima wanalalamika kwa upungufu wa mvua shambani.,Swahili
Fuel was too expensive so I left the car at home.,English
"Maze hii city haina huruma, lazima ujitegemee.",Sheng
"Biashara yangu mpya ina potential, naendelea kuibuild.",Sheng
The new bus lane is working well for morning commuters.,English
Coffee from Mt Kenya region is some of the best in the world.,English
"We should stop using single-use plastics, it is that simple.",English
Mfanyakazi mpya ameanza kazi wiki hii.,Swahili
Our office is relocating to Upperhill next month.,English
The school has introduced a new uniform for next year.,English
Puothe ber ahinya kar godo mwandu.,Luo
"Water was not there this morning so I skipped showering, do not judge.",English
The teacher asked parents to come for a meeting on Thursday.,English
Rech maber yudo e nam Victoria kawuono.,Luo
Conductor refused to give me change and just stared at me.,English
"Shikamoo mama, habari za leo?",Swahili
Christmas this year will be quiet but full of gratitude.,English
Bahari ya Hindi inapakana na pwani ya Kenya.,Swahili
Jaduong' osebedo motegno kendo.,Luo
Remind me tomorrow about that thing we discussed.,English
Please send your ID number so I can register you on the system.,English
Malipo ya ankara yanafanywa kwa simu za mkononi.,Swahili
Nimesahau kufunga mlango wa nyumba asubuhi.,Swahili
An gi tich e puoth odiechieng' mana.,Luo
Hospitali ya kaunti ina madaktari wachache sana.,Swahili
"Nilikuwa na plan nzuri lakini pesa haikuwepo, typical.",Sheng
"Buda wangu alisema naweza na niliamini, nikafanikiwa.",Sheng
Chieng' podho jaber kawuono odhiambo.,Luo
Rech ma wanango en maber ahinya.,Luo
The kids are on holiday and the house is very noisy.,English
Harambee ya kanisa ilikusanya pesa nyingi.,Swahili
Baba na mama wanaadhimisha miaka thelathini ya ndoa.,Swahili
Nimechukua dawa zangu za asubuhi tayari.,Swahili
"Nitafika baadaye tu, saa hii niko busy kidogo.",Sheng
I took my wife out for dinner and she ordered the most expensive thing.,English
Ninafuata njia ya mkato kupitia mtaa huu.,Swahili
"Street food in this city will never be beaten, I said what I said.",English
The cost of medicine at private pharmacies is too high nowadays.,English
"Niambie, umefika lini kutoka safari?",Swahili
Parents are requested to collect report forms on Friday.,English
"Karibu sana, ingia ndani uketi.",Swahili
"Bana siku hii ilikuwa long sana, niko tayari kulala.",Sheng
Wuod jal oduogo dala gokinyi.,Luo
"Nilifanya kazi side job usiku, nikapata extra ya chakula.",Sheng
"Base imejaa leo, kila mtu amekuja kurelax.",Sheng
Ji duto e dala ohero chopo kaachiel.,Luo
Dhako no osemako nyathi maber.,Luo
Osiepa oduogo dala kawuono okinyi.,Luo
An timo chiemo maber ne nyithindo.,Luo
Dhako no timo tich matek e ot kawuono.,Luo
"Mtaani ni hard lakini ndio tumekulia, tunajua vibaya vyake.",Sheng
Dhako no timo tich matek e ot.,Luo
Kwa stage ya Kencom msee lazima awe na subira kubwa.,Sheng
"Ile habari ilinipiga vibaya, sikutegemea kabisa.",Sheng
Nimesakinisha programu ya kibenki kwenye simu.,Swahili
"Aki this week has been too long, I need the weekend.",English
Osiepe jokaya wan gi wuoyo maber.,Luo
"Ugali and sukuma wiki, simple but always hits the spot.",English
Dhako no timo chiemo maber ne nyithindo.,Luo
Please send me the minutes of the last meeting.,English
"Koth ok ochwe kawuono, piny ber ahinya.",Luo
Ndugu wetu atarudi kutoka ughaibuni mwezi huu.,Swahili
Usafiri wa ndege ni ghali kuliko basi.,Swahili
Mama oselo chiemo maber ne ji kawuono.,Luo
Just landed in Mombasa and the heat is already welcoming me.,English
Jaduong' osenyiso wuoyi tich mag puoth maber.,Luo
Wuoyi no ng'eyo nango rech maber.,Luo
Twende tuwatch game kwa ile bar ya chini kabisa.,Sheng
"Buda alinisaidia nikapata interview, nashukuri sana.",Sheng
"Ile caption ilikuwa perfect, watu walicheka wote.",Sheng
Kampuni yetu imetangaza nafasi mpya za kazi.,Swahili
Mtihani wa mwisho utafanyika mwezi ujao wiki ya tatu.,Swahili
Mum made pilau on Sunday and we finished it in minutes.,English
Nyathi wuotho e skul odiechieng' mana.,Luo
Matatu ya kwanza ilienda bila kunisubi.,Swahili
"The weather today is too much, I am sweating already.",English
Umeme ulikatika kwa masaa matatu jana usiku.,Swahili
Oganda wan gi hera gi horuok kaachiel.,Luo
"Maze ilikuwa funny sana, nilicheka mpaka nikauma tumbo.",Sheng
"Bana ile moment ilikuwa beautiful, sitaisahau maishani.",Sheng
"Ile mat inacheza muziki loud, ndani ilikuwa ni party.",Sheng
Malaria bado ni tatizo kubwa sehemu za pwani.,Swahili
Mtandao wa 5G umefika miji mikubwa Kenya.,Swahili
Duka hili lina sukari ya aina nyingi.,Swahili
Bana mat ilisimama ghafla kwa police checkpoint tena.,Sheng
"Nilikuwa nadhani ni bora lakini ilikuwa worse, pole sana.",Sheng
"Matatu zilikuwa hazifiki asubuhi, nilichelewa kazini.",Sheng
Shoutout to everyone working hard this Monday morning.,English
The estate has a new watchman who takes his job very seriously.,English
Parliament will sit next week to debate the finance bill amendments.,English
Mchezo wa kesho utafanyika uwanjani Kasarani.,Swahili
An timo tich matek e puoth kawuono.,Luo
Maze uji wa asubuhi ukiwa na tangawizi ni life.,Sheng
Uko wapi? We are all here waiting.,English
The chama this month contributed and helped one member's family.,English
Our national football team gave us hope last night.,English
"Leo jua linachoma sana, tuchukue maji mengi.",Swahili
Jaduong' wuotho e dala gokinyi.,Luo
Diabetes and hypertension are affecting so many people we know.,English
Fuliza has saved me many times but the interest is painful.,English
My parents are celebrating forty years together this December.,English
"Congratulations on your new job, you deserve it.",English
Nyako no timo tich matek e ot.,Luo
Our team delivered and management is very happy.,English
Did you eat? Come we go for lunch at that new place.,English
"Conductor alikuwa anacheza ngumi kwa air, nilijua ni msee.",Sheng
We need to finalize the budget before the end of the quarter.,English
An dhi e chiro kawuono odhiambo.,Luo
Bana nilifanya decision ngumu lakini ilikuwa ya lazima.,Sheng
"Noted, I will sort it out today.",English
"Twende kwa ile spot ya chini, chakula ni fiti sana.",Sheng
Mama oselo kuon ne ji duto e ot.,Luo
Barabara mpya ya Thika imefunguliwa rasmi leo.,Swahili
Piny ng'ich kawuono gotieno.,Luo
Mechi ya soka ilisababisha kelele nyingi mtaani.,Swahili
God bless our families and keep them safe this season.,English
An biro dhi puoth kawuono okinyi.,Luo
Nyithindo ohero chiemo kuon gi aliya odhiambo.,Luo
Watu walionisema sitafanikiwa ndio wanaona sasa hivi.,Sheng
Load shedding interrupts work from home badly some days.,English
Kwanza let me tell you what happened yesterday evening.,English
Hoteli mpya itafunguliwa katikati ya mji hivi.,Swahili
Pls send me that document ASAP.,English
Piny ng'ich kawuono e kar dala.,Luo
"Driver alikuwa anaenda fast sana, nikajua leo ni yangu.",Sheng
Nyako timo chiemo maber ne ji e ot.,Luo
"Nilikuwa shocked, sikutarajia atafanya hivyo kwangu.",Sheng
I took the kids to Uhuru Park and they had the best time.,English
Jaduong' olemo kawuono gokinyi maber.,Luo
"Maze hii ni chapter mpya, naanza fresh na nguvu mpya.",Sheng
Kazi ya freelance inakulipa vizuri ukijua unajua kweli.,Sheng
Kenya has been ranked among the top safari destinations in Africa.,English
Puoth osiepena ber ahinya kar godo.,Luo
Piny chuer kawuono maber ahinya.,Luo
Nilikuwa nikitaka kuweka hii lakini nikaona ni oversharing.,Sheng
Conductor alimpigia kelele msee aliyekaa kwa seat yake.,Sheng
"Huyo dem wangu ni poa sana, ananikubali as I am.",Sheng
Nipe sukari kilo mbili tafadhali.,Swahili
"Happy birthday, may God add you more years and blessings.",English
Benga music is underrated but it is pure cultural gold.,English
"Huyo artiste mpya ana flow ya different, ninamwatch.",Sheng
"Nilikula ugali na nyama leo, imenipatia nguvu saa hii.",Sheng
"Okinyi, an a malo ndhi timo tich.",Luo
An gi paro maber ne tich manyien.,Luo
"My phone fell and the screen cracked, repair will cost me two k.",English
"I do all my shopping online now, no need to go to the shop.",English
"Digital ID rollout is ongoing, go register at your nearest office.",English
Nyathi no wuotho maber e dala kawuono.,Luo
I attended a live concert over the weekend and the energy was crazy.,English
Ji duto e dala wuotho maber.,Luo
I almost missed my bus because of the jam at Kencom.,English
An gi duol maber mar wuoyo gi ji.,Luo
Watching the match online because DSTV decoder has issues.,English
Chieng' podho jaber ahinya kawuono.,Luo
"Umekaa muda mrefu, je, unataka chai?",Swahili
"Nilikuwa wa mwisho kuingia, nikakaa kwa door, nikaomba Mungu.",Sheng
Rech mang'eny yudo e nam Victoria.,Luo
Wanafunzi wa mwisho wamepata matokeo ya mtihani.,Swahili
Nyako owinjo wach maber ma jodongo wacho.,Luo
"Nimesota leo, pesa zangu zimeisha kabla ya mwezi.",Swahili
Nyako no timo chiemo maber ahinya.,Luo
Mwaka huu wa masomo umefunguliwa rasmi leo asubuhi.,Swahili
"Piny ber kawuono, chieng' wuok maber.",Luo
I am craving nyama choma and cold soda right now.,English
"Be there in 20, traffic at Globe is crazy.",English
The Kenyan music scene has been on fire this past year.,English
Every Eid our neighbors share food with us and we love it.,English
Kenyan comedians on social media are keeping us sane this year.,English
"Jioni njema, umefanya kazi nzuri leo.",Swahili
An chiemo rech gi kuon okinyi kawuono.,Luo
Ninatumia programu ya taharuki kusoma habari.,Swahili
Mutura from the right roadside guy is a whole experience.,English
Osiepa timo tich matek kawuono.,Luo
An chiemo kuon gi aliya odhiambo.,Luo
"Maze si ati nilikuwa najua itakuwa hivyo, nilishtuka.",Sheng
Jaduong' osenyiso nyako tich mag ot maber.,Luo
"Mental health is just as important as physical health, take care.",English
Watoto wanacheza mpira wa miguu baada ya shule.,Swahili
"Maze watu wa mtaani wanajua yangu yote, no privacy.",Sheng
The SGR is so comfortable compared to the old train.,English
"Ile situation ilikuwa cringe, nilitaka kutoweka haraka.",Sheng
"The report is ready, I will email it before end of day.",English
"Wacha I call u back, in a matatu.",English
Simu za bei nafuu zimefika sehemu za vijijini.,Swahili
Msitu wa mvua una aina nyingi za mimea.,Swahili
My boss wants the proposal by close of business today.,English
Nyathi no bedo matek ahinya saa ni.,Luo
Flooding in parts of Kisumu has displaced hundreds of families.,English
Nyithindo ohero singo gi jowetegi e dala.,Luo
Kenya Sevens tournament is back and the fans are ready.,English
An gi hera ne puoth mar dala.,Luo
I am the only one in my family without a degree and I am fine.,English
"Piny ng'ich kawuono, wabedo e ot kaachiel.",Luo
Kamera ya simu yangu mpya ina picha nzuri.,Swahili
"We buried our uncle last week, may his soul rest in peace.",English
Our athlete broke a world record and we could not be prouder.,English
Jodongo bedo kaluoro wach maber kaachiel.,Luo
"Mama alinipikia pilau, nikakaa nyumbani jioni nzima.",Sheng
An chiemo kuon gi rech odhiambo.,Luo
Upepo wa pwani unaleta baridi ya kupendeza.,Swahili
Nipe mkate mmoja na siagi kidogo.,Swahili
Form Four leavers are encouraged to apply for HELB loans.,English
"Habari za nyumbani, kila kitu kiko sawa?",Swahili
Matumizi ya teknolojia yameongezeka kwa vijana.,Swahili
Watoto wanacheza bao nje ya nyumba jioni.,Swahili
The flyover construction has made that route a nightmare.,English
Samaki wamefika bandari leo asubuhi mapema.,Swahili
An gi tich e puoth kawuono odiechieng'.,Luo
The kids are obsessed with watching Kenyan YouTube creators.,English
"Goals zangu ziko kwa notebook, nacheck kila wiki mwisho.",Sheng
"Bana nilicheka mpaka machozi yalitoka, ilikuwa too funny.",Sheng
Naenda kukohoa ile pesa kesho asubuhi bila shaka.,Sheng
Ji duto ohero chopo e lemo kaachiel kawuono.,Luo
"Ile musik kwa mat ilikuwa hits za zamani, watu wakafurahi.",Sheng
Idhi ngo? Adhi dala ne nyathi.,Luo
An gi hera ne nam Victoria maber ahinya.,Luo
Mtoto alishinda tuzo ya kwanza darasani mwake.,Swahili
"Asubuhi njema, je, umelala vizuri?",Swahili
"Doh ya rent iko, ya chakula ndiyo tatizo saa hii.",Sheng
Mama osemako nyathi maber ahinya.,Luo
Watoto wachanga wanahitaji chanjo mara kwa mara.,Swahili
We must protect our wildlife for the next generation.,English
Osiepe joka wan gi wuoyo maber.,Luo
The national team departs for the tournament in South Africa tomorrow.,English
Maktaba ya shule ina vitabu vipya vilivyofika.,Swahili
"Pole for the late reply, I was in a meeting.",English
Dawa hizi zinachukuliwa mara tatu kwa siku.,Swahili
Wanyama wa pori wanaishi mbugani mwa Maasai.,Swahili
Wafanyabiashara wadogo wanalalamikia ushuru wa juu.,Swahili
An dhi lemo kawuono odhiambo.,Luo
Saa hii hii ninawork kwa kitu ambacho kitabadilisha life yangu.,Sheng
Somo la hisabati ni gumu kwa watoto wengi.,Swahili
Tuition classes are available every Saturday morning near us.,English
Mawingu mengi yanaonekana mbinguni leo.,Swahili
The matatu culture in this city is honestly unmatched worldwide.,English
Wanyama wa porini wanalindwa na sheria nchini.,Swahili
"Maze wewe unajua potential yako, usiiache ikae bure.",Sheng
Nothing beats a good nyama choma with the boys on a Friday.,English
Ji mathoth odhi e chiro kawuono.,Luo
The rains came early this year and farmers are very happy.,English
"Maze ninaendelea tu, hakuna option nyingine kwa saa hii.",Sheng
Nyathi no osemedo bedo matek.,Luo
"Huyo msee alinisurprise, sikujua ana heart ya aina hiyo.",Sheng
"I am on my way, just got into a mat at town.",English
Dem huyo ana attitude but akiwa poa ni very poa.,Sheng
Maze graffiti kwa mat ilikuwa na ujumbe wa kuchekesha.,Sheng
The strike by teachers has affected learning in many schools.,English
"Performance reviews are coming up, time to update the CV.",English
Are you around? I am near your stage right now.,English
Mama wa kiosk ananijua order yangu before nasema.,Sheng
Foleni ya gari ni ndefu sana leo asubuhi.,Swahili
Watoto wanapenda kula ugali na mayai ya kukaanga.,Swahili
Jatich no timo tich matek e puoth.,Luo
"Eye check-ups are often ignored but very important, go get yours.",English
"Huyo msee anafanya pesa quietly, usimudharau.",Sheng
"Piny ng'ich kawuono, an bedo e ot.",Luo
"Nitakupigia nikiwa karibu, usiende mbali.",Sheng
The county government has started a tree planting campaign.,English
The Standard Gauge Railway recorded its highest passengers last month.,English
Maua ya mwituni yananukia vizuri saa hizi.,Swahili
An timo chiemo maber ne nyithindo kawuono.,Luo
"Nilituma doh kwa familia yangu, niko na baki kidogo.",Sheng
Mitandao ya kijamii inabadilisha maisha ya watu.,Swahili
We are doing a family harambee to help pay hospital bills.,English
"My dad called to check on me, that man is my hero.",English
An dhi e nam kawuono odhiambo.,Luo
Vitabu vya shule vimepanda bei mwaka huu.,Swahili
Ndoa ya kidini ilifanyika kanisani Jumamosi iliyopita.,Swahili
Wazee wanashirikiana kuhifadhi mila za kale.,Swahili
The annual Lewa Marathon raises millions for conservation every year.,English
Chiemo maber en gima dupna.,Luo
Bana podcast yangu favorite ilirelease episode mpya jana.,Sheng
Maze ana followers wengi lakini engagement yake ni zero.,Sheng
"Maze ile skit ilikuwa relatable sana, watu wote wakashare.",Sheng
"Chai ya asubuhi haijakaa vizuri, ni baridi sasa.",Swahili
Kwa stage ya Archives ni lazima uwe aggressive kidogo.,Sheng
"Koth biro kawuono gotieno, waparo.",Luo
"Conductor aliniambia fare imepanda, nikakataa kulipa extra.",Sheng
I am in back to back meetings the whole of today.,English
"Nilifanya kazi yote na wao wakachukua credit, si sawa.",Sheng
"Kiangazi kimekwisha, mvua inanyesha tena.",Swahili
"Kaa na watu wanaokusupport, wengine wacha waende.",Sheng
Osiepe joka wan gi wuoyo maber kaachiel.,Luo
"Huyo ni buda yangu wa roho, tunajuana miaka mingi.",Sheng
Nilikuwa naomba raise lakini bosi alisema siyo bado.,Sheng
Kipchoge ameshinda tena mbio za dunia.,Swahili
My colleague brought mandazi to the office and they were gone in five minutes.,English
The choir performance at the concert moved everyone to tears.,English
Jodala ohero chopo kaachiel.,Luo
I bumped into your cousin at the supermarket this morning.,English
Dhako no ng'eyo timo chiemo maber ahinya.,Luo
Organic farming is gaining popularity among young Kenyans.,English
Wuoyi no odhi e chiro kawuono okinyi.,Luo
The queue at the public hospital was three hours long today.,English
"Watu wa office waliorder in pamoja, ilikuwa nice sana.",Sheng
Osiepe joka wan gi mor e dala.,Luo
Watching the marathon and spotting Kenyans at the front is routine.,English
Osiepa biro e dala kawuono okinyi.,Luo
Nyithindo wuotho e skul odiechieng'.,Luo
Mchinjaji amepanda bei ya nyama tena.,Swahili
"Done with work, heading to the stage now.",English
Osiepe jokaya biro lawa kawuono okinyi.,Luo
"Maze ile punchline ilikuwa go, bana nilicheka sana.",Sheng
Mama osenyiso nyithindo tich mag dala.,Luo
Ji mathoth odhi e nam kawuono okinyi.,Luo
"Ninaomba maji ya kunywa, nina kiu kubwa.",Swahili
"Niliweka highlight mpya ya trip yangu, watu wakavibe.",Sheng
Rech mang'eny yudo e nam kawuono.,Luo
Security has been beefed up ahead of the upcoming public holiday.,English
Residents of Kibera have decried the lack of clean water for weeks.,English
"Ile vibe ilikuwa off, nilitaka kuenda haraka.",Sheng
Nitarudi nyumbani saa kumi na mbili usiku.,Swahili
Maze niliona alikuwa hasty na nilijua itaisha vibaya.,Sheng
Ile smokie nilinunua kwa stage ilikuwa hit sana bana.,Sheng
Sherehe ya harusi ilifanyika kwa furaha kubwa.,Swahili
Kwa street lazima uwe na jicho la tatu kila wakati.,Sheng
Pilipili ikiwa nyingi chakula kinachoma kinywa.,Swahili
"Maze nilipata opportunity nzuri, sikuacha iende bure.",Sheng
"The fare has gone up again, these conductors are too much.",English
Maze trend hii mpya imechukua over kila platform yote.,Sheng
Osiepe jokaya biro lawa kawuono.,Luo
"Nilifanya deal mzuri, faida ilikuwa poa sana kweli.",Sheng
The Kenya Film Festival showcased amazing local talent this year.,English
"Maze nilikuwa nimesahau kufollow, nikaona post yake na nikaremember.",Sheng
Mama oselo kuon ne nyithindo kawuono.,Luo
Stendi ya mabasi inaanza kufanya kazi mapema.,Swahili
Nyithindo wuotho e skul odiechieng' mana.,Luo
"Good morning, hope ur day is smooth.",English
"Familia yangu ni kubwa, tuna watoto sita.",Swahili
"Nilikuwa najua itakuwa hivyo, experience inakufundisha.",Sheng
Watoto wanapenda kucheza baada ya shule.,Swahili
"Nilifika nyumbani baada ya masaa mawili, nikelewa kabisa.",Sheng
Buda wangu wa zamani ameniona kwa stage akasema aje.,Sheng
"Kompyuta yangu imeharibika, inahitaji kutengenezwa.",Swahili
"Maze nilikuwa nimechoka kusimama kwa mat, mguu uliuma.",Sheng
Wanafunzi wa kidato cha sita wamefanya vizuri sana.,Swahili
An timo tich maber e puoth kawuono.,Luo
Familia yetu inakwenda picnic Jumamosi hii.,Swahili
An gi tich matek kawuono.,Luo
Stendi ya mabasi iko mbali kidogo na hapa.,Swahili
Ninapika pilau kwa ajili ya wageni wetu leo.,Swahili
Maze nilifeel free sana baada ya kumwambia ukweli wote.,Sheng
"My wife's mukimo is the reason I married her, I am serious.",English
Ile beef ya hao wawili ilikuwa entertaining lakini childish.,Sheng
Naomba uniambie bei ya mahindi kilo moja.,Swahili
